run,size,ratio,sampling_time_s,total_time_s
1,15000,1.0000710530962498,1.5634361,1.6639722000000003
2,15000,1.0000441437588377,1.5768467999999998,1.6738532999999998
3,15000,1.0000365553744517,1.5721157,1.6673685999999996
4,15000,1.0001629136683543,1.5914908999999997,1.679913
5,15000,1.0000840089364667,1.7359899000000003,1.8114202000000001
6,15000,1.0000515552973308,1.8010486,1.8552464
7,15000,1.0000596376387663,1.7606909000000002,1.8268102000000006
8,15000,1.000025400192098,1.8005988999999998,1.9265974999999997
9,15000,1.0000778264167385,1.3405841,1.3848554000000002
10,15000,1.0000576981235574,1.3927888,1.4839276999999997
11,15000,1.0000688555635604,1.4218251999999998,1.4827018
12,15000,1.0000756894647214,1.3655567,1.4150102000000002
13,15000,1.0000474501248995,1.4811832000000003,1.5656730000000003
14,15000,1.0000274994435083,1.4991604999999995,1.5489742000000009
15,15000,1.0000203898053206,1.4270369999999994,1.4894375999999996
16,15000,1.0000952086518193,1.4712671000000004,1.5664595000000006
17,15000,1.0000324878682993,1.4302890000000001,1.4843758999999999
18,15000,1.0001178117843288,1.4161526000000002,1.4660402999999995
19,15000,1.0001153002828171,1.3122115,1.3630524000000008
20,15000,1.0000305768187947,1.3491338000000006,1.421417400000001
21,15000,1.0000235442956331,1.4130175000000005,1.465997100000001
22,15000,1.0000589464442373,1.4734860999999988,1.5371241999999992
23,15000,1.0000144054998406,1.4890617000000006,1.5436013000000006
24,15000,1.0000407065736774,1.5471073000000004,1.6034593000000008
25,15000,1.0000477078628436,1.5090647000000015,1.5623785000000012
26,15000,1.000043089549719,1.4857871000000014,1.5505795000000013
27,15000,1.0000673466502719,1.4979096999999992,1.5486731999999996
28,15000,1.0001848935684214,1.4113071999999995,1.4637606000000005
29,15000,1.0000334994893063,1.3723182999999999,1.4218490999999993
30,15000,1.00003715840375,1.412525500000001,1.4625969000000012
31,15000,1.0000310374245012,1.430594300000001,1.4932019000000007
32,15000,1.0000182543412934,1.3953325999999997,1.5208689
33,15000,1.0000347024422531,1.4575714999999985,1.5097427999999997
34,15000,1.000041995249515,1.4889037000000016,1.5405650000000009
35,15000,1.0001353965083437,1.5123524999999987,1.5856825000000008
36,15000,1.000038988807774,1.4794316999999975,1.5367641999999986
37,15000,1.000020764222293,1.4908555999999997,1.5398244000000005
38,15000,1.0000336003770465,1.5055659000000006,1.6227793000000013
39,15000,1.0000224373598052,1.4400742999999991,1.514777800000001
40,15000,1.0000671133139099,1.4368298999999993,1.5075487999999986
41,15000,1.000079590255204,1.4607259999999975,1.5656325999999972
42,15000,1.0000602800240321,1.5071478999999997,1.5701591000000015
43,15000,1.0000621019785156,1.452838700000001,1.527604499999999
